epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2785,1.89347,2.52436,3.27493,0.15597,0.6786,0.25352,0.18611,0.05553,2.01489,2.96038,4.11795,0.17823,0.00018,0.00018,0.08218
2,16.6165,1.61951,1.96775,2.70269,0.071,0.67586,0.22535,0.20387,0.09324,1.62258,2.89895,3.1973,0.0727,0.000369859,0.000369859,0.0633699
3,22.6639,1.57194,1.78304,2.40434,0.08682,0.39788,0.41818,0.27,0.1505,1.52249,2.41344,2.8917,0.06341,0.000559145,0.000559145,0.0445591
4,30.3566,1.48112,1.76949,2.29866,0.07448,0.43117,0.42392,0.3656,0.1988,1.59763,2.10232,2.7379,0.2511,0.000747427,0.000747427,0.0257474
5,36.2798,1.44182,1.66592,2.18678,0.07361,0.43456,0.718,0.544,0.32944,1.25534,1.69106,2.6111,0.05147,0.000934271,0.000934271,0.00693427
6,44.0778,1.49646,1.67931,2.20098,0.07164,0.52061,0.53465,0.48834,0.32084,1.3377,1.98962,2.6531,0.07257,0.000990489,0.000990489,0.000990489
7,50.353,1.39154,1.58263,2.11644,0.07031,0.58754,0.6238,0.61595,0.37318,1.30457,1.74856,2.60467,0.04546,0.000986323,0.000986323,0.000986323
8,57.7613,1.30563,1.52905,2.03951,0.06363,0.70737,0.6281,0.68894,0.38484,1.42809,1.62117,2.78708,0.02234,0.000981415,0.000981415,0.000981415
9,64.2476,1.29678,1.51159,2.00333,0.05548,0.8485,0.53119,0.66207,0.37589,1.36177,1.70367,2.65261,0.05138,0.000975773,0.000975773,0.000975773
10,70.5448,1.24477,1.42443,1.97281,0.05635,0.56826,0.67404,0.60125,0.34715,1.29487,1.67323,2.58893,0.03719,0.000969405,0.000969405,0.000969405
11,77.8652,1.23687,1.45569,1.95987,0.06516,0.52382,0.69763,0.59917,0.34782,1.18265,1.57528,2.43416,0.0464,0.00096232,0.00096232,0.00096232
12,85.0313,1.25366,1.50242,1.96193,0.05221,0.51047,0.63204,0.60107,0.4071,1.16594,1.58008,2.40927,0.03245,0.000954531,0.000954531,0.000954531
13,92.5444,1.26075,1.4648,1.95912,0.05662,0.64467,0.54544,0.63435,0.39778,1.20189,1.46777,2.45982,0.04945,0.000946048,0.000946048,0.000946048
14,98.6652,1.25705,1.41981,1.94343,0.05704,0.61046,0.63574,0.6062,0.42582,1.11807,1.45206,2.35727,0.01816,0.000936886,0.000936886,0.000936886
15,106.399,1.17393,1.32989,1.87375,0.05137,0.67894,0.65459,0.6618,0.44959,1.13101,1.30992,2.37106,0.03017,0.000927057,0.000927057,0.000927057
16,112.65,1.22878,1.36182,1.92015,0.05214,0.63065,0.7151,0.67641,0.43502,1.19221,1.35861,2.43819,0.06152,0.000916577,0.000916577,0.000916577
17,120.47,1.19203,1.3531,1.87169,0.04664,0.64265,0.56094,0.63575,0.40982,1.17737,1.66757,2.40959,0.02246,0.000905463,0.000905463,0.000905463
